_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,0,4194304,332,44,113,3,5,0,9,8,9,0,17,df91149cd89b466ab47c937ac5d33dd2,1,4194304,-1,17,0,69,0,

MED,0,4.1943e+06,332,44,113,3,5,0,9,8,9,0,17,nan,1,4.1943e+06,-1,17,0,69,0,
SIR,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,0,0,0,0,
MEAN,0,4.1943e+06,332,44,113,3,5,0,9,8,9,0,17,nan,1,4.1943e+06,-1,17,0,69,0,
