_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
10,9768,0,0.981837,122,151,29,0.981119,8,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
11,10062,0,0.981712,122,151,29,0.981004,11,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
12,10286,0,0.982006,122,151,29,0.981407,9,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
13,10511,0,0.981923,122,151,29,0.981229,12,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
14,10699,0,0.983667,122,151,29,0.983125,15,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
15,10887,0,0.983292,122,151,29,0.982713,13,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
16,11107,0,0.983627,122,151,29,0.983152,14,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
17,11351,0,0.985880,122,151,29,0.985467,7,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
18,11559,0,0.984045,123,151,28,0.983574,18,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
19,11806,0,0.984771,124,151,27,0.984071,16,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
20,12042,0,0.984150,124,151,27,0.983464,17,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
