_repeat_id,_thread_id,min_c
0,13,6,
1,4,7,
2,11,8,
3,14,6,
4,2,7,
5,8,7,
6,1,6,
7,5,7,
8,6,7,
9,3,7,
10,15,7,
11,7,8,
12,10,7,
13,12,7,
14,9,6,
15,0,7,
16,13,6,
17,2,6,
18,5,6,
19,3,7,

MED,6.5,7,
SIR,4.25,0.5,
MEAN,7.15,6.75,
MIN,0,6,
MAX,15,8,
