_repeat_id,_thread_id,min_c
0,13,5,
1,10,4,
2,3,5,
3,5,5,
4,14,5,
5,8,4,
6,1,5,
7,7,4,
8,0,5,
9,2,4,
10,11,6,
11,4,6,
12,6,5,
13,9,5,
14,12,5,
15,15,4,
16,12,5,
17,11,6,
18,9,4,
19,4,5,

MED,8.5,5,
SIR,3.75,0.5,
MEAN,7.8,4.85,
MIN,0,4,
MAX,15,6,
