_repeat_id,_thread_id,min_c
0,10,6,
1,12,8,
2,14,7,
3,1,7,
4,13,6,
5,3,7,
6,6,8,
7,11,7,
8,0,7,
9,2,8,
10,7,8,
11,5,8,
12,9,7,
13,4,7,
14,8,7,
15,15,7,
16,9,7,
17,5,7,
18,14,7,
19,6,7,

MED,7.5,7,
SIR,3.5,0.25,
MEAN,7.7,7.15,
MIN,0,6,
MAX,15,8,
