_repeat_id,_thread_id,min_c
0,12,22,
1,11,24,
2,2,29,
3,0,23,
4,7,25,
5,3,25,
6,1,27,
7,10,24,
8,9,23,
9,13,23,
10,8,24,
11,14,26,
12,4,27,
13,15,25,
14,6,21,
15,5,22,
16,13,25,
17,7,26,
18,12,24,
19,6,22,

MED,7.5,24,
SIR,3.75,1.25,
MEAN,7.9,24.35,
MIN,0,21,
MAX,15,29,
