_repeat_id,_thread_id,min_c
0,14,12,
1,15,12,
2,4,13,
3,5,13,
4,7,14,
5,8,15,
6,0,14,
7,13,14,
8,6,16,
9,2,13,
10,9,15,
11,12,12,
12,3,11,
13,10,12,
14,11,12,
15,1,11,
16,9,12,
17,0,14,
18,4,12,
19,10,16,

MED,7.5,13,
SIR,3.5,1,
MEAN,7.15,13.15,
MIN,0,11,
MAX,15,16,
