_repeat_id,_thread_id,min_c
0,13,4,
1,14,5,
2,15,5,
3,5,6,
4,8,4,
5,9,4,
6,12,4,
7,11,5,
8,4,5,
9,3,6,
10,0,5,
11,7,4,
12,10,4,
13,6,4,
14,1,4,
15,2,5,
16,7,5,
17,1,4,
18,10,5,
19,2,5,

MED,7,5,
SIR,4,0.5,
MEAN,7,4.65,
MIN,0,4,
MAX,15,6,
