_repeat_id,_thread_id,min_c
0,13,7,
1,1,7,
2,14,7,
3,15,7,
4,6,7,
5,12,8,
6,3,7,
7,9,8,
8,5,7,
9,10,7,
10,7,7,
11,8,7,
12,0,7,
13,2,7,
14,4,7,
15,11,7,
16,0,7,
17,15,7,
18,14,8,
19,7,7,

MED,7.5,7,
SIR,4.5,0,
MEAN,7.8,7.15,
MIN,0,7,
MAX,15,8,
