_repeat_id,_thread_id,min_c
0,14,10,
1,0,10,
2,11,10,
3,2,10,
4,15,10,
5,3,11,
6,10,10,
7,8,10,
8,9,11,
9,1,10,
10,12,10,
11,5,10,
12,4,10,
13,6,11,
14,7,10,
15,13,10,
16,8,10,
17,7,10,
18,4,10,
19,12,10,

MED,7.5,10,
SIR,3.75,0,
MEAN,7.55,10.15,
MIN,0,10,
MAX,15,11,
